x,Curve2
19.626,-4.8212
19.769,-4.6764
19.8818,-4.5983
19.9872,-4.5549
20.0812,-4.5288
20.1414,-4.5317
20.2053,-4.5664
20.2693,-4.5983
20.3746,-4.6677
20.4461,-4.5983
20.5702,-4.4999
20.6906,-4.413
20.8034,-4.358
20.8862,-4.3117
21.0066,-4.2654
21.1307,-4.2307
21.315,-4.2336
21.4354,-4.2393
21.5633,-4.2596
21.6197,-4.2799
21.7401,-4.2336
21.8379,-4.1872
21.8755,-4.1728
21.947,-4.1959
22.0861,-4.2422
22.1915,-4.2509
22.3005,-4.2886
22.4548,-4.332
22.5751,-4.4246
22.7106,-4.5143
22.8836,-4.6359
22.9852,-4.6706
23.0792,-4.6967
23.1732,-4.7401
23.2673,-4.8327
23.3764,-4.8993
23.4403,-5.044
23.5193,-5.2496
23.572,-5.3567
23.6246,-5.4551
23.7262,-5.2901
23.8014,-5.1946
23.8654,-5.1164
23.9444,-5.2119
24.0158,-5.2988
24.1174,-5.3567
24.2528,-5.4551
24.3393,-5.5477
24.3995,-5.6345
24.5124,-5.8024
24.5763,-5.9182
24.644,-5.9993
