log10_P1p4GHz,N_all,log10RLF_all,log10RLF_all_up,log10RLF_all_lo,N_SF,log10RLF_SF,log10RLF_SF_up,log10RLF_SF_lo,N_RLAGN,log10RLF_RLAGN,log10RLF_RLAGN_up,log10RLF_RLAGN_lo
20,3,-2.9,0.2,0.39,3,-2.9,0.2,0.39,,,,
20.4,46,-2.52,0.08,0.1,43,-2.56,0.09,0.11,3,-3.63,0.23,0.54
20.8,116,-2.84,0.04,0.05,103,-2.89,0.04,0.05,13,-3.77,0.11,0.15
21.2,319,-2.82,0.02,0.03,296,-2.85,0.03,0.03,23,-4.01,0.09,0.11
21.6,654,-3,0.02,0.02,589,-3.05,0.02,0.02,65,-4.04,0.05,0.06
22,1266,-3.25,0.01,0.01,1106,-3.31,0.01,0.01,160,-4.18,0.04,0.04
22.4,1496,-3.68,0.01,0.02,1119,-3.79,0.02,0.02,377,-4.35,0.03,0.03
22.8,1138,-4.23,0.02,0.02,588,-4.45,0.02,0.02,550,-4.62,0.02,0.03
23.2,658,-4.78,0.02,0.02,133,-5.36,0.04,0.05,525,-4.91,0.03,0.03
23.6,378,-5.06,0.03,0.03,26,-6.12,0.11,0.14,352,-5.09,0.03,0.03
24,259,-5.36,0.03,0.03,,,,,259,-5.36,0.03,0.03
24.4,183,-5.57,0.04,0.04,,,,,183,-5.57,0.04,0.04
24.8,81,-6.03,0.06,0.07,,,,,81,-6.03,0.06,0.07
25.2,49,-6.33,0.08,0.09,,,,,49,-6.33,0.08,0.09
25.6,16,-6.74,0.16,0.27,,,,,16,-6.74,0.16,0.27
26,3,-7.3,0.25,0.68,,,,,3,-7.3,0.25,0.68
26.4,2,-8.12,0.27,0.85,,,,,2,-8.12,0.27,0.85
